Program,Threads,Repeats,Average_Time(s)
benchmark_pthread,4,100,.00635030000000000000
benchmark_pthread,4,1000,.05692040000000000000
benchmark_pthread,4,10000,.56205760000000000000
benchmark_pthread,6,100,.00869390000000000000
benchmark_pthread,6,1000,.08468870000000000000
benchmark_pthread,6,10000,.85351450000000000000
benchmark_pthread,8,100,.01207730000000000000
benchmark_pthread,8,1000,.11520970000000000000
benchmark_pthread,8,10000,1.15613220000000000000
benchmark_pthread,10,100,.01446560000000000000
benchmark_pthread,10,1000,.14164370000000000000
benchmark_pthread,10,10000,1.43360710000000000000
benchmark_barrier,4,100,.00773040000000000000
benchmark_barrier,4,1000,.07474110000000000000
benchmark_barrier,4,10000,.78098500000000000000
benchmark_barrier,6,100,.01293490000000000000
benchmark_barrier,6,1000,.12883580000000000000
benchmark_barrier,6,10000,1.29003620000000000000
benchmark_barrier,8,100,.01783790000000000000
benchmark_barrier,8,1000,.18413670000000000000
benchmark_barrier,8,10000,1.85203370000000000000
benchmark_barrier,10,100,.02308850000000000000
benchmark_barrier,10,1000,.23204130000000000000
benchmark_barrier,10,10000,2.36518340000000000000
